employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
58536,Finance,region_31,Bachelor's,m,other,2,26,1,2,0,0,61
35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,0,0,48
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,0,0,58
57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,1,0,87
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,1,0,47
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,1,0,75
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,0,0,47
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,1,0,51
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5,6,1,0,51
25014,Technology,region_15,Bachelor's,m,other,1,34,3,10,0,0,80
40097,Operations,region_2,Bachelor's,f,other,2,23,4,2,1,0,57
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4,26,1,0,52
17423,Sales & Marketing,region_2,,m,other,3,24,2,2,0,0,48
61758,Analytics,region_2,Bachelor's,m,other,1,44,5,12,0,0,88
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,0,0,71
17876,Procurement,region_13,Master's & above,f,other,1,37,4,4,0,0,71
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3,11,0,0,80
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3,3,1,0,49
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3,12,0,0,73
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4,2,1,0,60
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3,8,0,0,48
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3,12,1,0,65
33690,HR,region_22,Bachelor's,m,other,1,30,1,6,0,0,50
73161,Operations,region_22,Bachelor's,m,other,1,39,3,5,1,0,62
13596,Analytics,region_31,Bachelor's,m,other,2,26,2,2,0,0,85
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,49
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,1,0,84
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,1,0,47
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,0,0,52
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,1,0,47
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,0,0,53
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,1,0,52
58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,0,0,87
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,1,0,58
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61
73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,1,0,75
45624,Analytics,region_31,Bachelor's,m,other,1,30,3,7,1,0,84
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,1,0,59
24040,Technology,region_22,Master's & above,m,other,1,34,5,7,1,0,78
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,0,0,52
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,0,0,44
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,0,0,52
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,2,1,0,49
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1,5,0,0,51
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,1,0,53
